CellNumber,GrowthRate,BirthLength,LifeHistory
1,0.0230706768614098,21,30
2,0.0216854556488486,22,34
3,0.0141860033421699,22,18
4,0.00975803283388643,40,6
5,0.0221095104609238,40,25
6,0.0135725058432595,22,60
7,0.0147102878568916,20,79
8,0.0270853901824878,18,34
9,0.0151971813955845,38,6
10,0.0250940264681836,19,23
11,0.0229937307982931,22,27
12,0.0142342143037052,22,43
13,0.0282642585695985,17,33
14,0.0171888855870269,18,38
15,0.0195580529703888,23,28
16,0.0136960649140508,26,53
17,0.00150281658467913,20,94
18,0.018561564962574,33,10
19,0.0185509274474529,33,14
20,0.0230612992809426,25,18
21,0.000487092083515998,18,112
22,0.00306044757927426,21,95
23,0.0244964408552719,24,14
24,0.0222337634913522,23,27
25,0.0239012644018829,25,10
26,0.0326943084337242,15,31
27,0.0235215230532131,18,39
28,0.0193318790985312,28,14
29,0.0157981160667958,18,59
30,0.025990161898767,18,18
31,0.0213965876583956,17,32
32,0.0177782891011875,46,15
33,0.0149350780339198,28,14
34,0.0246567408942483,16,35
35,0.0181277667256062,23,46
36,0.023286921955679,16,37
37,0.0120091025791343,18,61
38,0.0205097083757233,20,36
39,0.0184755424294374,18,40
40,0.0190528046133161,34,4
41,0.0303123109082175,32,3
42,-0.000383419949718884,24,112
43,0.026807703959798,18,36
44,0.0237723661545331,20,28
45,0.0176868345258921,21,36
46,0.0160727183974306,28,20
47,0.0211464625372955,19,64
48,0.0199940632083767,19,43
49,0.0203300307452646,20,48
50,0.0223595864696757,18,32
51,-0.000667639388772267,28,112
52,0.0222974884456915,22,30
53,0.0240354089855584,19,33
54,0.0197871850571748,22,23
55,0.0223595864696757,19,32
56,0.0235802485540505,23,20
57,0.0226611429569702,32,13
58,-0.000759276719265542,32,86
59,-0.00112759588246852,34,112
60,0.0211870864738391,28,19
61,0.022314355131421,32,11
62,-0.00466051848400189,24,88
63,0.0214497802759179,28,21
64,0.0136214808211745,18,83
65,0.0174132665790758,26,35
66,0.0203000540900397,16,60
67,0.0247530963155282,20,30
68,0.0448044012278318,20,21
