CellLifeId,GrowthRate,birthLength,LifeHistory,AverageVelocity,AverageLength
1,0,12,1,248.418578491701,12
2,0.0729755040432301,14,6,81.9539404428234,24.6666666666667
3,0.00919784983375906,14,83,4.3653220159129,24.9397590361446
4,0.00850108171271442,14,88,4.14965319691779,24.8409090909091
5,0,20,1,91.9912758276662,20
6,0.0199628333604699,14,18,10.7888654072132,17.5
7,0.00718427239478113,18,41,7.67929869964849,22.3658536585366
8,0.0445104642081742,7,2,89.9516227971335,7.5
9,0,9,1,85.8392076407633,9
10,0.0195565310046169,8,36,5.12061913188884,17.4722222222222
11,0.213951295390798,10,2,83.5588128890745,14.5
12,0.00912193800540376,14,48,4.80552942201908,19.9375
13,0.00897259297656568,15,25,9.40134299565846,17.52
14,0.00722612230439863,18,44,1.4221652480841,22.0681818181818
15,0.0119776566258059,12,51,4.51571310628281,19.1960784313725
16,0.00684957315361383,15,28,8.24369441682684,17.25
17,0.00892591418745534,18,33,0.683256321103769,22.4545454545455
18,0.00967916004510582,15,50,1.119170276182,22.32
19,0,16,10,-4.99152244242335,16.6
20,0.00802959469565543,14,66,-0.851751075278983,20.4090909090909
21,0,16,176,0.777023078337407,15.9772727272727
22,-0.0113985098639001,20,3,13.2645775118122,19.6666666666667
23,0.00137022826513118,12,75,-0.757979192604241,13.64
24,0.0109728585869691,16,34,1.5586839761497,21.4117647058824
25,0.00912193800540376,14,48,-1.1319997490244,19.0625
26,0.000261336634420271,14,176,0.792007760275203,15.1420454545455
27,0.00744133455141616,11,39,-1.40934226225058,13.3589743589744
28,0.0112706858627633,13,41,-1.41300886147353,18.9756097560976
29,0.00871883245987353,15,53,1.37319315205599,20.5849056603774
30,0.00445104642081742,14,20,17.6169758020799,15
31,-0.0227502725006532,13,28,12.5899558766604,12.25
32,0.0088865023148711,14,52,1.32673018444634,19.1153846153846
33,0.00655555751332741,22,13,-1.60822271926754,23.2307692307692
34,0.0236073098887438,9,34,-1.80936414531582,13.6764705882353
35,0.00799116867921615,18,24,-2.93389679416035,20.7083333333333
36,0.00958666732134462,14,53,2.35555360784878,20.9811320754717
37,0,11,13,-5.24990927608315,9.69230769230769
38,0.0107615505653109,14,28,4.14705007442975,17.4285714285714
39,0.00915618929005922,15,48,2.40278763495331,21.1458333333333
40,0.00906074745829994,15,51,1.34758351016804,21.5294117647059
41,0.0175600859429711,9,4,55.6363865274216,10
42,0.00769838436411007,14,66,0.406255598679769,20.2575757575758
43,0.105127648048569,10,5,44.1606888217229,12.4
44,0,20,1,106.280571420173,20
45,0.00861758992005574,15,51,1.22011164387792,20.6470588235294
46,0.00741309326293398,13,69,0.344050601610482,19.3768115942029
47,0.0107317719224814,11,51,4.16659267321931,16.8823529411765
48,0.011806043390218,10,19,11.6282031638942,12.3684210526316
49,0,10,3,71.0224350195018,10
50,0.0106144021435316,11,49,4.58610957543898,15.8571428571429
51,0.0119673537276622,14,14,14.5102257121533,16
52,0.010469025784327,11,68,3.00902475662819,19.6176470588235
53,-0.00212160811020567,19,54,3.78021263606815,25
54,-0.00141929336909625,16,176,-0.650016383579578,19.3352272727273
55,0.00563367107937081,14,105,-0.976975109128736,20.352380952381
56,0.00855856424633539,15,66,-1.18137320921362,23.1212121212121
57,0.00965393114543249,16,28,-2.33323436277707,18.6428571428571
58,0.00785325307750235,17,51,-1.4492003476344,21.4313725490196
59,0.0109010029950947,16,32,-2.21223765622185,20.90625
60,0.00940913644502342,14,54,-2.28891988981368,20.7222222222222
61,0.0088865023148711,15,52,-2.31631391311111,20.3076923076923
62,0.00683765084152979,13,37,-3.39046805174026,15.7837837837838
63,0.00733489079957614,14,63,-0.926684255196062,18.968253968254
64,0,26,1,12.3725809801605,26
65,0.0105046330976009,12,56,-1.04591204815062,18.5
66,-0.000630517224562534,12,92,-1.4307910672871,11.6086956521739
67,0.010598312713118,18,30,-3.15765365035967,22.7
68,0.00568596668412595,9,115,-1.17355440286827,16.1826086956522
69,0,9,1,-66.4897388726149,9
70,0,17,176,-0.867583188009035,17.2272727272727
71,-0.0306545730811661,11,22,-4.80498687006904,11
72,0.0383576096602374,12,5,-22.2719767009273,12
73,0.0171278533141398,12,6,-18.8415085012606,13.1666666666667
74,0.0303869261323258,5,4,-29.1389478671576,5.25
75,0.00880763739724952,12,93,-1.14093882460794,24.5161290322581
76,0.00822930553309445,13,89,-1.04797167883943,22.7865168539326
77,0.00788713951111914,14,75,-0.850734295054857,21.0933333333333
78,0.00644246369752784,16,81,-2.73455094911349,21.7654320987654
79,0.00706562883063648,14,78,-0.745332707312546,20.9487179487179
80,-0.00105233612163121,17,123,-1.81499479052411,15.3983739837398
81,0.0106197687064582,11,54,-2.34811660198439,17.6296296296296
82,0.00936667510813407,12,72,-1.88961781957652,20.7361111111111
83,0.00956608184504996,16,39,-5.15724259072447,21.0512820512821
84,0,28,2,-98.4578514040547,28
85,0,9,2,-62.3011911485958,9
86,0.0989249792972503,10,5,-24.9821631857369,16.4
87,0.0391669691038113,10,8,-7.21582789952269,12.75
88,0.0378389350937771,12,9,21.3541728227092,18.2222222222222
89,-0.0445104642081742,8,2,90.2361692552808,7.5
90,0.0445104642081742,7,2,104.524156442802,7.5
91,0,4,2,105.966800552231,4
92,0.203620162638701,8,3,70.9433190928183,12.6666666666667
93,0.00871883245987353,14,53,0.597135541675406,19.0377358490566
94,0.011864895888904,11,60,0.454426698188941,19.8166666666667
95,0,9,2,86.5891351855038,9
96,0.031200588399429,10,22,7.89285117245507,21.8636363636364
97,0,4,1,116.109726928539,4
98,0.0107288623089335,13,54,-3.70795010607572,20.6296296296296
99,0.00823794319537028,16,61,-3.22871102358349,21.0327868852459
100,0.0164901683619857,9,50,1.05618509442024,24.22
101,-0.0234134479239614,10,3,14.2627996657677,9.33333333333333
102,0,6,1,-75.8127021776614,6
103,0.0375455885887748,10,14,15.4512702125126,18.6428571428571
104,-0.0196305059427306,9,4,54.6375930103757,8.5
105,0.00770895474812117,9,55,4.08522702041934,13.4909090909091
106,0.00882419508970369,10,83,2.66761816310267,17
107,0.0095117947070832,10,77,3.09282466150732,17.4285714285714
108,0,4,1,-53.9462544231101,4
109,0.119777000162819,7,3,-37.0357311524876,9
110,-0.134696845237848,11,3,-37.7356330123628,8.66666666666667
111,-0.0175600859429711,10,4,-31.1443285041967,10
112,0.0660140171961853,11,7,-17.9415298506056,15.7142857142857
113,0.00985892438889892,14,60,8.53698658506645,22.1666666666667
114,0.00959750710707324,14,43,11.6479075138796,18.4418604651163
115,0,7,1,-56.7922128608728,7
116,0.0825385611208298,7,5,-23.3209505688398,11.6
117,0,10,1,103.060585626228,10
118,0,6,1,-33.4271099043033,6
119,0.0559796823716303,10,7,-15.9494328825199,11.8571428571429
120,0.0279238253645451,7,6,-19.3076168791653,7.16666666666667
121,0.0125151961962583,10,42,-1.27011040424557,20
