TimeStep,CellLifeId,lable,Orientation,Center_X,Center_Y,Major_axis,Minor_axis
1,1,1,84.3353336597865,43.5048833698876,139.098706091371,28,7.57175488460467
1,2,2,78.4403491072675,46.0101416946304,166.600194015093,26,7.82054276130989
1,3,3,-52.9728853803639,116.801096450764,171.100824690972,25,7.90984419988868
1,4,4,-12.2336586190134,133.105949473282,286.98864579105,44,6.71943958525341
1,5,5,27.0247541906331,130.60021944128,53.1636225931574,36,7.70027086760229
1,6,6,5.21081823630507,139.090820615341,298.004132731822,36,6.44423925139864
1,7,7,3.33917677547182,195.5,59,32,7.30831249049042
1,8,8,32.0496634352899,231.734672927464,193.923794224335,24,7.23573232062323
1,9,9,-78.4060607794975,239.211176042878,111.419916335744,41,7.49882779007464
1,10,10,30.9711444016964,275.51460631856,258.642573421862,40,7.89133572870865
1,11,11,9.2095904146617,281.580023208288,223.506445255179,26,7.60085011431545
1,12,12,-29.0717705130958,330.374011733194,83.5140951839717,28,8.34050164941399
2,1,1,83.2728369030287,43.4068847739726,139.257141571752,28,7.49996485948834
2,2,2,77.0719778980437,45.912674054546,166.751863411745,26,7.82410413896223
2,3,3,-53.6466069906086,116.696381976578,171.237311877553,25,7.77980709823355
2,4,4,-12.6244847622788,133.50928013473,286.62791172578,45,6.58359296467989
2,5,5,26.6563304328228,130.898218834475,53.7580325699412,35,7.78453433701375
2,6,6,5.23602697583956,138.991258763741,298.144172787056,36,6.38860194493892
2,7,7,3.31278530246775,195.4,59.14,32,7.30786598369914
2,8,8,31.5443432643966,231.638420851472,194.066117764304,24,7.23506683964354
2,9,9,-78.3989977353289,239.111309190632,111.559880739646,41,7.44996996348995
2,10,10,31.206722749073,274.9,259.14,40,7.89728821051086
2,11,11,8.16265579513236,281.4,223.64,26,7.56410263542028
2,12,12,-29.52746436232,330.270119555901,83.6471592970961,29,8.09104588272441
3,1,1,82.0600457845501,43.4495866221468,138.868135227112,28,7.59195557182356
3,2,2,76.4377827689072,45.9539420750624,166.847250559083,27,7.79799484522445
3,3,3,-54.9003964562569,116.318422947367,171.533423356498,26,7.51959352120182
