CellLifeId,GrowthRate,birthLength,LifeHistory,AverageVelocity,AverageLength
1,0.0182268399399832,28,39,2.36091585553714,39.974358974359
2,0.0174423146201073,26,46,2.42795117138579,40.0434782608696
3,0.0106422004951248,27,48,0.813091245241155,34.4166666666667
4,0.0163629423781802,45,10,12.8715894668274,49.3
5,0.0173082042939965,38,17,-2.18154466755549,43.6470588235294
6,0.0100083458556983,38,10,13.3606620889424,39.2
7,0.0139579036034373,32,26,-2.69475837118168,38.9230769230769
8,0.0102567360974394,26,42,-0.42610427198834,32.1904761904762
9,0.0116313924771163,44,16,-4.61751768733834,47.75
10,0.0162043846733017,41,11,-1.0607172055656,44.9090909090909
11,0.0136991463072277,27,42,-0.896543283896937,36.1190476190476
12,0.00965703543447169,29,50,-2.61039032504392,36.68
13,0.0086247641296569,26,44,3.25066887601662,31.2045454545455
14,0.0138052022679272,28,42,2.73706684468843,37.8333333333333
15,0.0102165124753198,24,50,2.97254608958812,30.06
16,0.00876509861862311,20,50,2.72319771277375,24.5
17,0.0117975071586767,23,49,-0.178438753349702,30.7142857142857
18,0.0107365937938118,26,49,-0.400880030391752,33.6122448979592
19,0.0117714338985194,28,44,-1.4482991212933,36.0454545454545
20,0.0121708690080991,24,44,-1.80167257094919,31.3863636363636
21,0.0177815382451649,27,43,-0.596059175778979,39.3488372093023
22,0.0140961814783794,24,43,-0.8892549847478,32.4651162790698
23,0.00936628620936866,24,34,-2.16403437230133,27.3823529411765
24,0.0136560472979735,22,34,-2.44522164329015,27.8235294117647
25,0,6,2,65.6785457115045,6
26,0.0136991463072277,30,21,3.93110572508267,33.8095238095238
27,0.0169845211399396,28,21,4.83630356293659,32.9047619047619
28,0,6,1,60.9390287348286,6
29,0.0111483719701195,18,18,-1.25857772904776,20.6666666666667
30,0.00968629928582098,21,18,-1.73367674476067,22.5
31,0.0101289753774419,25,18,-1.43791220918838,27.6666666666667
32,0.0142185207854,24,18,-2.84744273405857,27.7222222222222
33,0,6,2,61.4698102969183,6
34,0.0143336211044394,27,14,6.80167945972599,30
35,0.0106808381407831,31,14,7.91605940719052,32.9285714285714
36,0,6,1,60.3883966428524,6
37,0.00694846741158757,23,12,4.09950524598287,23.4166666666667
38,0.010216860174361,23,12,1.89645429568506,24.3333333333333
39,0.0143100843640673,26,10,-11.2504848856295,28.2
40,0.0046520015634893,21,10,-13.4104965344677,21.3
41,0.0141660856633754,25,8,14.5484567925236,25.75
42,0.0049025891441602,25,8,12.6578832215586,25.375
43,0,22,6,25.3390907762919,22
44,0.0196305059427306,16,6,22.3759055747546,16.3333333333333
45,0,4,2,56.391504261534,4
