CellLifeId,GrowthRate,birthLength,LifeHistory,AverageVelocity,AverageLength
1,0.00356083713665394,28,25,25.9594053317216,28.72
2,0.00183980990631871,28,25,1.29088751461443,28.4
3,0.00167734791034875,26,15,12.7108202041826,26.0666666666667
4,-0.00141420765708499,21,23,8.00141201700411,20.3478260869565
5,0.00519610552286185,23,71,4.13643228918789,26.2676056338028
6,0,26,1,196.888208721764,26
7,0.0016166565817716,16,25,15.0760105822559,16.28
8,0.00254160479478201,20,25,14.5804074596041,20.88
9,0,10,1,235.03266354866,10
10,0,10,25,18.5849527714726,10
11,0.0477002812135578,26,2,229.2223478846,28
12,0.045051678678685,20,6,74.7425322255608,24.6666666666667
13,0,10,25,18.1929444854067,9.44
14,0,20,25,11.299807286574,19.84
15,0,31,1,125.024860646277,31
16,0.00707984652079396,16,56,4.27096365105242,19.5357142857143
17,0.00607964400940208,15,96,3.33314575093148,21.375
18,0,17,1,127.531298144896,17
19,0.00537323395782903,16,86,3.65687956586305,21.1279069767442
20,-0.000600156673755326,25,142,1.44732934692478,23.9225352112676
21,0.00213447220462764,24,25,9.18729569911396,25.24
22,0.00136782118366802,19,25,4.57577557234796,19.8
23,0,16,25,7.41849326640337,15.92
24,0,18,25,6.84129562973757,17.84
25,0,22,25,7.08205795162405,21.64
26,0.0817472630515212,13,5,78.580465557281,17.2
27,0.00653678552554693,25,4,95.3762747568153,25
28,-0.019335861553251,12,3,128.865178641641,11.6666666666667
29,0,31,6,-4.43989256550642,31
30,0,16,25,4.03199458541621,16
31,0.0247026573845739,13,2,48.3747146474676,13.5
32,0,16,25,3.23881070988411,16.2
33,0.00486190818117212,15,25,3.72663161279145,16.48
34,0,26,9,5.01289847040423,25.6666666666667
35,0,14,9,16.7361701738213,13.8888888888889
36,0.0462098120373297,14,10,14.4971100551243,15.3
37,0,24,25,-10.0918786789748,24.12
38,0.00232030338639012,22,25,-13.1519015066268,22.96
39,-0.00124053375026381,22,25,-8.25838526901554,21.32
40,0,28,1,-150.786645666454,28
41,0.00130107104451819,20,25,-9.66451688789373,20.68
42,0.0041512711224947,21,28,-12.3719785030578,22
